Nom du fichier ,Identificateur,Date Heure,Debit Production
20150504-221544-824_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:00:01,0.0
20150504-221544-824_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:00:06,0.0
20150504-221544-824_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:00:11,0.0
20150504-221544-824_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:00:16,0.0
20150504-221544-824_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:00:21,0.0
20150504-221544-824_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:00:26,0.0
20150504-221544-824_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:00:31,0.0
20150504-221544-824_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:00:36,0.0
20150504-221550-634_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:00:46,0.0
20150504-221550-634_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:00:51,0.0
20150504-221550-634_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:00:56,0.0
20150504-221550-634_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:01:01,0.0
20150504-221550-634_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:01:06,0.0
20150504-221550-634_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:01:11,0.0
20150504-221550-634_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:01:16,0.0
20150504-221550-634_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:01:21,0.0
20150504-221550-634_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:01:26,0.0
20150504-221550-634_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:01:31,0.0
20150504-221550-634_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:01:36,0.0
20150504-221556-949_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:01:46,0.0
20150504-221556-949_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:01:51,0.0
20150504-221556-949_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:01:56,0.0
20150504-221556-949_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:02:01,0.0
20150504-221556-949_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:02:06,0.0
20150504-221556-949_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:02:11,0.0
20150504-221556-949_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:02:16,0.0
20150504-221556-949_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:02:21,0.0
20150504-221556-949_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:02:26,0.0
20150504-221556-949_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:02:31,0.0
20150504-221602-241_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:02:41,0.0
20150504-221602-241_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:02:46,0.0
20150504-221602-241_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:02:51,0.0
20150504-221602-241_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:02:56,0.0
20150504-221602-241_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:03:01,0.0
20150504-221602-241_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:03:06,0.0
20150504-221602-241_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:03:11,0.0
20150504-221602-241_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:03:16,0.0
20150504-221602-241_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:03:21,0.0
20150504-221602-241_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:03:26,0.0
20150504-221606-828_88025102_c_0.txt,E,05/05/2015 00:03:36,0.0
20150504-221606-828_88025102_c_0.txt,E,05/05/2015 00:03:41,0.0
20150504-221606-828_88025102_c_0.txt,E,05/05/2015 00:03:46,0.0
20150504-221606-828_88025102_c_0.txt,E,05/05/2015 00:03:51,0.0
20150504-221606-828_88025102_c_0.txt,E,05/05/2015 00:03:56,0.0
20150504-221606-828_88025102_c_0.txt,E,05/05/2015 00:04:01,0.0
20150504-221606-828_88025102_c_0.txt,E,05/05/2015 00:04:06,0.0
20150504-221606-828_88025102_c_0.txt,E,05/05/2015 00:04:11,0.0
20150504-221606-828_88025102_c_0.txt,E,05/05/2015 00:04:16,0.0
20150504-221606-828_88025102_c_0.txt,E,05/05/2015 00:04:21,0.0
20150504-221606-828_88025102_c_0.txt,E,05/05/2015 00:04:26,0.0
20150504-221612-475_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:04:36,0.0
20150504-221612-475_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:04:41,0.0
20150504-221612-475_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:04:46,0.0
20150504-221612-475_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:04:51,0.0
20150504-221612-475_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:04:56,0.0
20150504-221612-475_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:05:01,0.0
20150504-221612-475_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:05:06,0.0
20150504-221612-475_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:05:11,0.0
20150504-221612-475_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:05:16,0.0
20150504-221612-475_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:05:21,0.0
20150504-221617-713_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:05:31,0.0
20150504-221617-713_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:05:36,0.0
20150504-221617-713_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:05:41,0.0
20150504-221617-713_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:05:46,0.0
20150504-221617-713_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:05:51,0.0
20150504-221617-713_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:05:56,0.0
20150504-221617-713_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:06:01,0.0
20150504-221617-713_88025102_c_TEMPERATURE.txt,E,05/05/2015 00:06:06,0.0
